Side,Shoulder_Angle,Elbow_Angle,Hip_Angle,Knee_Angle,Ankle_Angle,Shoulder_Ground_Angle,Elbow_Ground_Angle,Hip_Ground_Angle,Knee_Ground_Angle,Ankle_Ground_Angle,Label
left,88.05137128789062,179.41947086775903,173.31491821308316,176.77645813370987,90.9239732182842,90.0,90.0,90.0,90.0,90.0,No Exercise
left,93.18569656549415,176.24692358161906,171.69615029285742,170.11528621423665,90.56711969021362,90.0,90.0,90.0,90.0,90.0,No Exercise
left,88.0522033778722,170.10864779692608,178.7576991811772,177.20953770446786,94.912572488137,90.0,90.0,90.0,90.0,90.0,No Exercise
left,87.7943944288546,170.9446471175694,170.56221583941453,173.18830604595536,85.69625848301709,90.0,90.0,90.0,90.0,90.0,No Exercise
left,82.88950446701418,175.62591648167032,172.61120190867507,172.5471261022252,92.82183981805096,90.0,90.0,90.0,90.0,90.0,No Exercise
left,88.00602950112167,175.97727645553005,178.41353082532208,177.33492845398257,86.67345229809251,90.0,90.0,90.0,90.0,90.0,No Exercise
left,92.38916882724881,178.33681909638503,172.23880604440274,173.74044622126252,88.04751706441267,90.0,90.0,90.0,90.0,90.0,No Exercise
left,96.05021648328713,176.80117124756205,176.31895359882654,174.35348929744887,87.7893517340597,90.0,90.0,90.0,90.0,90.0,No Exercise
left,88.24594773252541,177.98559188256667,173.22292925565543,177.17513270250387,89.46752916336729,90.0,90.0,90.0,90.0,90.0,No Exercise
left,91.70020050090557,176.83342826293602,175.38050426594734,178.4276521861554,85.48309456818154,90.0,90.0,90.0,90.0,90.0,No Exercise
left,83.3350630448011,172.98089253265917,178.13593903824162,172.85592902567328,91.73784550788311,90.0,90.0,90.0,90.0,90.0,No Exercise
left,89.06248317175643,176.44712400687146,174.51767385254252,179.55341295540305,94.9542006917893,90.0,90.0,90.0,90.0,90.0,No Exercise
left,80.30526577628147,170.6612640781347,178.35322629678035,178.63033652308977,90.20538248740124,90.0,90.0,90.0,90.0,90.0,No Exercise
left,98.69219263375915,170.48992177179142,176.4073920194696,173.1587166561303,91.52405722449788,90.0,90.0,90.0,90.0,90.0,No Exercise
left,83.68650368676066,173.2485816716694,171.9053688005224,174.64075438272002,88.28718854645358,90.0,90.0,90.0,90.0,90.0,No Exercise
left,89.37405210963172,176.51643300239817,174.41609824322708,175.0800424159562,85.18958717327848,90.0,90.0,90.0,90.0,90.0,No Exercise
left,87.11208085669897,178.77704421042205,178.93136579402776,179.08250823951997,94.74765204026365,90.0,90.0,90.0,90.0,90.0,No Exercise
left,93.6248391311052,175.0920767654546,171.8196191635827,178.51550825641283,93.44414332479653,90.0,90.0,90.0,90.0,90.0,No Exercise
left,85.74937459295988,171.3628647661382,174.88936699908263,179.9145153777053,86.56929529927764,90.0,90.0,90.0,90.0,90.0,No Exercise
left,81.32433591158126,174.3735624004911,178.85074065016525,178.66127536909968,87.2940971346124,90.0,90.0,90.0,90.0,90.0,No Exercise
left,84.32801098183519,178.9395909359162,179.92063562636756,175.27246452438246,85.75198362553608,90.0,90.0,90.0,90.0,90.0,No Exercise
left,82.62047343370088,174.03324680396474,170.47267397577056,174.3899389781722,89.24303933658797,90.0,90.0,90.0,90.0,90.0,No Exercise
left,97.33944282008811,170.3610000620132,170.50035335649216,173.21957401837508,93.63090819543123,90.0,90.0,90.0,90.0,90.0,No Exercise
left,96.18710758787545,175.53618597493158,175.92849333409094,173.80176412861402,93.93124145624711,90.0,90.0,90.0,90.0,90.0,No Exercise
left,83.94071522796064,176.17096701961478,178.92199457129024,179.1883682435615,86.21473946355935,90.0,90.0,90.0,90.0,90.0,No Exercise
left,87.26777372222627,172.76963932670523,172.3973639283417,173.2751905545805,90.00836805479508,90.0,90.0,90.0,90.0,90.0,No Exercise
left,96.26720582353086,176.44420888465433,177.79329526518345,175.28534486478094,93.64219238309417,90.0,90.0,90.0,90.0,90.0,No Exercise
left,83.06735059152429,173.84698729281388,178.7439307863035,178.8455723507438,91.77484983329897,90.0,90.0,90.0,90.0,90.0,No Exercise
left,93.67915078456848,170.41791619325082,172.75998638981216,172.55009345326147,87.25631524524425,90.0,90.0,90.0,90.0,90.0,No Exercise
left,84.28296680532291,172.4025289679593,177.44354729412927,179.12782758463234,89.8264627919229,90.0,90.0,90.0,90.0,90.0,No Exercise
left,80.56954223836955,171.19651685105455,172.4597763891028,172.81504203118203,88.52597388755946,90.0,90.0,90.0,90.0,90.0,No Exercise
left,89.5935950984943,176.97494053593076,175.2165283464115,175.42576655772191,87.22057284453781,90.0,90.0,90.0,90.0,90.0,No Exercise
left,97.75538533813386,178.7414059520571,178.4589752549314,176.03803516838133,88.15673440497108,90.0,90.0,90.0,90.0,90.0,No Exercise
left,94.57827861534311,174.9371659896566,178.6595446119641,173.30925600614938,87.77507160192334,90.0,90.0,90.0,90.0,90.0,No Exercise
left,89.1705755593768,177.11366872261107,179.51677861330765,173.3192195954937,89.1018014971769,90.0,90.0,90.0,90.0,90.0,No Exercise
left,88.94477584261072,174.20134931777002,170.44080290071904,173.39810297243645,90.17517609663751,90.0,90.0,90.0,90.0,90.0,No Exercise
left,84.10741031549809,176.0242141527507,174.15468048244207,172.6959771794365,94.53181254542794,90.0,90.0,90.0,90.0,90.0,No Exercise
left,85.05796780055189,175.07702302805367,170.95586687303847,177.6962752777476,89.75764327246362,90.0,90.0,90.0,90.0,90.0,No Exercise
left,81.59262373703349,177.3092434875853,171.00320024630363,177.03994658543115,92.66102743987175,90.0,90.0,90.0,90.0,90.0,No Exercise
left,89.77240265748176,179.11415531779275,170.70960565016486,174.49294274410727,91.47797743183413,90.0,90.0,90.0,90.0,90.0,No Exercise
left,94.7180248166138,178.8963610220012,172.0983059849112,178.4240154326811,94.17320840161032,90.0,90.0,90.0,90.0,90.0,No Exercise
left,80.80336118813838,171.91311009223818,171.27224638239966,173.67573901769245,91.67086478863736,90.0,90.0,90.0,90.0,90.0,No Exercise
left,87.39590249832564,170.67871868056628,171.6059911725603,172.2218459027769,86.24693836270191,90.0,90.0,90.0,90.0,90.0,No Exercise
left,98.39224477547904,175.56990235507408,171.78356618755413,176.74325736635728,87.98505543014255,90.0,90.0,90.0,90.0,90.0,No Exercise
left,89.50180676565253,172.3193933347494,179.12168905720384,175.16779386756247,86.99655522137328,90.0,90.0,90.0,90.0,90.0,No Exercise
left,81.8160410255243,173.1243733949388,172.38314345700238,177.34172800139618,94.30272711379362,90.0,90.0,90.0,90.0,90.0,No Exercise
left,84.79720901528235,174.63005108842194,178.74948347195667,172.4716293662628,93.99432664473039,90.0,90.0,90.0,90.0,90.0,No Exercise
left,82.99433809847987,171.0007290159219,174.94555841529274,175.19260685274637,92.73594521434525,90.0,90.0,90.0,90.0,90.0,No Exercise
left,85.24343013137421,170.31869427027226,175.24813369166205,170.1537551903453,93.27449504218814,90.0,90.0,90.0,90.0,90.0,No Exercise
left,87.1153571694823,179.75570440340326,174.9833209311812,173.43806272056568,92.65172474153457,90.0,90.0,90.0,90.0,90.0,No Exercise
left,98.04721012399091,178.28649549684746,178.07156608992454,175.30049066836463,85.90251278849875,90.0,90.0,90.0,90.0,90.0,No Exercise
left,90.1870740094924,173.94142808749186,174.95899446460712,179.7810146404535,88.14640618831704,90.0,90.0,90.0,90.0,90.0,No Exercise
left,98.79113593930371,175.43437724698947,170.84510288895999,173.4234748022462,85.38842739024878,90.0,90.0,90.0,90.0,90.0,No Exercise
left,83.91188916891623,171.09351219255842,175.08836844297446,174.87261562162098,86.93217764766563,90.0,90.0,90.0,90.0,90.0,No Exercise
left,91.69864447632254,178.9206896955927,175.7910229344567,175.13456406309737,87.22177563403037,90.0,90.0,90.0,90.0,90.0,No Exercise
left,91.19606928523427,170.88642621485062,177.44735427804963,172.75274552045272,93.90180632935804,90.0,90.0,90.0,90.0,90.0,No Exercise
left,92.2026707387654,171.4816445920403,170.29520170667627,174.26222569464548,94.43382395755454,90.0,90.0,90.0,90.0,90.0,No Exercise
left,82.04505587732397,175.9547445492782,174.01396600666482,171.27652131481588,92.32664020814777,90.0,90.0,90.0,90.0,90.0,No Exercise
left,97.92863634823891,171.4759198440912,178.76321585765348,177.321400205619,92.47524842125533,90.0,90.0,90.0,90.0,90.0,No Exercise
left,97.96114442103678,174.64123880527154,175.2762709619146,175.74353430519966,86.78993184184127,90.0,90.0,90.0,90.0,90.0,No Exercise
